TIMESTEP,SID1003MEAN(mm),SID1003MINIMUM(mm),SID1003MAXIMUM(mm),SID1003VARIANCE(mm^2),SID1003STD_DEV(mm),SID1003SUM,SID1003COUNT
1917-12-01T00:00:00Z,33.171875,0,297.6,2541.151,50.40983,10038.188,10571
1918-01-01T00:00:00Z,21.911621,0,316.7,1994.1742,44.656178,10038.188,10571
1918-02-01T00:00:00Z,69.85573,0,349.5,5200.753,72.11624,10038.188,10571
1918-03-01T00:00:00Z,40.05972,0,384.1,3966.0264,62.976395,10038.188,10571
1918-04-01T00:00:00Z,2.1936815,0,444.7,538.47064,23.20497,10038.188,10571
1918-05-01T00:00:00Z,0.14494924,0,232.7,22.696692,4.7641044,10038.188,10571
1918-06-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1918-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1918-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1918-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1918-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1918-11-01T00:00:00Z,2.5082057,0,201,164.63118,12.830869,10038.188,10571
1918-12-01T00:00:00Z,15.962229,0,222.7,1096.8431,33.11862,10038.188,10571
1919-01-01T00:00:00Z,128.16252,0,534,13877.642,117.8034,10038.188,10571
1919-02-01T00:00:00Z,136.72098,0,438.7,11069.822,105.21323,10038.188,10571
1919-03-01T00:00:00Z,75.45048,0,498.80002,10980.314,104.786995,10038.188,10571
1919-04-01T00:00:00Z,55.2182,0,838.4,19646.258,140.16512,10038.188,10571
1919-05-01T00:00:00Z,7.87475,0,1057.8,4220.872,64.96824,10038.188,10571
1919-06-01T00:00:00Z,0.004151876,0,27.9,0.08591646,0.2931151,10038.188,10571
1919-07-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1919-08-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1919-09-01T00:00:00Z,0,0,0,0,0,10038.188,10571
1919-10-01T00:00:00Z,0,0,0,0,0,10038.188,10571
